track_name,analysis_level,model_id,r2,rmse,mae,n_test,source_table,claim_level,source_role,interpretation_note,display_level,phase5_evidence_class,count_as_independent_headline,phase5_overlap_related_flag,phase5_decision_reason
GSE221384_context_track,01_GC_length_only,M01_GC_length,-0.0934772049072243,1.896216713715393,1.629220282362712,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,01_GC_length_only,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,02_GC_length_plus_6mer,M02_GC_length_char6,0.129254892851815,1.6921101268955785,1.4070285824072553,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,Closest available table is GC/length + 6-mer; a pure 6-mer-only row was not identified.,02_GC_length_plus_6mer,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,03_grammar_ladder_candidate,M03_GC_length_multi_char6,0.1784044300747667,1.6436606106730005,1.3592621217167762,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,03_grammar_ladder_best,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,04_grammar_plus_P01_P05_candidate,T04_observable_alignment_proxy,0.2117140378824361,1.609996750848716,1.326798064371269,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,04_grammar_plus_P01_P05_best,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,05_grammar_plus_nonlinear_head,B08_MLPRegressor_reproducer,0.6728289570324019,,,,PHASE5H_R2_MATRIX_MODELS_BY_TRACK.csv,,,,05_grammar_plus_nonlinear_head,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,06_full_ATLAS_Evo,N09_ATLAS_FullTheory_MLP,0.7439710784066178,,,,PHASE5H_R2_MATRIX_MODELS_BY_TRACK.csv,,,,06_full_ATLAS_Evo,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,07_full_ATLAS_without_uncertainty_proxy_closest_available,N06_ATLAS_T04_ObservableAlignment_MLP,0.7523193706254652,,,,PHASE5H_R2_MATRIX_MODELS_BY_TRACK.csv,,,Closest available nonlinear ATLAS head excluding N07 uncertainty/acquisition proxy; not a perfect engineered leave-one-out ablation.,07_full_ATLAS_without_uncertainty_proxy_closest_available,secondary_support,no,yes,external/exploratory support; not primary headline
GSE221384_context_track,08_uncertainty_acquisition_proxy_head,N07_ATLAS_T05_UncertaintyEnsemble_MLP,0.7769827226219332,,,,PHASE5H_R2_MATRIX_MODELS_BY_TRACK.csv,,,,08_uncertainty_acquisition_proxy_head,secondary_support,no,yes,external/exploratory support; not primary headline
PARM_GSE301246_Task_C_stress_test,01_GC_length_only,M01_GC_length,-0.1454147563776815,0.1613166886707199,0.1025262116502254,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,01_GC_length_only,boundary_failure,no,no,stress-test branch; use as boundary evidence
PARM_GSE301246_Task_C_stress_test,02_GC_length_plus_6mer,M02_GC_length_char6,-0.1780956522229646,0.1636018417395175,0.1020187281461221,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,Closest available table is GC/length + 6-mer; a pure 6-mer-only row was not identified.,02_GC_length_plus_6mer,boundary_failure,no,no,stress-test branch; use as boundary evidence
