track_name,model_id,r2,rmse,mae,n,evidence_class,count_as_independent_headline,decision_reason
Random_Promoter_DREAM_base_track_5,T04_observable_alignment_proxy,0.6491104448680286,0.4449102527550926,0.337080594241646,14221,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_2,T04_observable_alignment_proxy,0.6491104448680286,0.4449102527550926,0.337080594241646,14221,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_18,T04_observable_alignment_proxy,0.6126186643836083,0.4721022003351542,0.3602559585627627,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_13,T04_observable_alignment_proxy,0.6126186643836083,0.4721022003351542,0.3602559585627627,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_9,T04_observable_alignment_proxy,0.6126186643836083,0.4721022003351542,0.3602559585627627,4000,secondary_support,no,related/duplicate evidence; do not count as independent headline
PARM_GSE301246_held_out_context_track_5,M08_dynamic_condition_weighted_char6,0.4307546686640491,21.72021548691409,16.402831130941742,10,exclude_from_headline,no,small-n branch; keep only in secondary_support or sensitivity table
PARM_GSE301246_held_out_context_track,T05_uncertainty_ensemble_proxy,0.3955993351255749,49.56370603960791,28.49090057274019,1500,primary_headline,yes,positive context/transfer evidence
Random_Promoter_DREAM_base_track_7,T04_observable_alignment_proxy,0.2876585702977691,1.9948825825181584,1.5436625248929747,30000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_4,T04_observable_alignment_proxy,0.284423689686203,2.0155352946950784,1.5614381708980112,30000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_3,T04_observable_alignment_proxy,0.2813359087852787,2.006696524468721,1.5577256799271724,30000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_6,T04_observable_alignment_proxy,0.2807902429077594,2.0063116944466635,1.556483215049511,30000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_16,T04_observable_alignment_proxy,0.2796569209540137,2.0221148546846948,1.5613071049224037,29852,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_15,T04_observable_alignment_proxy,0.2794283772363876,2.0234222281793,1.5607145566655385,20000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_10,T04_observable_alignment_proxy,0.2762271545149858,2.00934111379276,1.547296210214178,20000,primary_headline,yes,large-n positive base/reference evidence
Random_Promoter_DREAM_base_track_19,T04_observable_alignment_proxy,0.2739614602244904,2.028982364864745,1.5662757035199997,20000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_14,T04_observable_alignment_proxy,0.2739614602244904,2.028982364864745,1.5662757035199997,20000,secondary_support,no,related/duplicate evidence; do not count as independent headline
Random_Promoter_DREAM_base_track_8,T02_selection_potential_proxy,0.2733663743201212,2.0487215094729474,1.584091330581663,4000,primary_headline,yes,large-n positive base/reference evidence
